
epoch 97,  actor_loss: 43.5916,  critic_loss: 69.8943, cost_time: 2.2566, best_solution: [11.942437171936035],od: 7.3290, eqity: 6.6578,rad: 21.9574
epoch 98,  actor_loss: 193.7746,  critic_loss: 67.6914, cost_time: 2.6777, best_solution: [11.942437171936035],od: 11.1745, eqity: 11.3836,rad: 30.3645
epoch 99,  actor_loss: 192.6035,  critic_loss: 86.6285, cost_time: 2.7301, best_solution: [11.942437171936035],od: 11.4485, eqity: 11.8557,rad: 31.7229
epoch 100,  actor_loss: 187.5236,  critic_loss: 81.1601, cost_time: 2.5619, best_solution: [11.942437171936035],od: 12.1532, eqity: 10.8243,rad: 29.4832
epoch 101,  actor_loss: 95.2777,  critic_loss: 71.9747, cost_time: 2.5775, best_solution: [12.15322208404541],od: 12.4272, eqity: 10.9693,rad: 33.6312
epoch 102,  actor_loss: -81.8151,  critic_loss: 93.1286, cost_time: 2.5380, best_solution: [12.427233695983887],od: 10.6632, eqity: 10.4728,rad: 28.3772
epoch 103,  actor_loss: -152.9425,  critic_loss: 92.6529, cost_time: 2.9111, best_solution: [12.427233695983887],od: 11.4128, eqity: 11.7604,rad: 26.9296
epoch 104,  actor_loss: -176.4134,  critic_loss: 78.9007, cost_time: 2.6091, best_solution: [12.427233695983887],od: 11.5436, eqity: 12.0832,rad: 30.8017
epoch 105,  actor_loss: -86.0502,  critic_loss: 113.5820, cost_time: 2.5328, best_solution: [12.427233695983887],od: 10.2534, eqity: 9.1364,rad: 27.0588
epoch 106,  actor_loss: -32.3226,  critic_loss: 83.7406, cost_time: 2.6047, best_solution: [12.427233695983887],od: 11.6510, eqity: 12.2598,rad: 27.7240
epoch 107,  actor_loss: 42.0881,  critic_loss: 80.8985, cost_time: 2.5740, best_solution: [12.427233695983887],od: 11.3969, eqity: 11.3577,rad: 31.6874
epoch 108,  actor_loss: 77.5078,  critic_loss: 59.2139, cost_time: 2.5039, best_solution: [12.427233695983887],od: 10.2260, eqity: 9.8610,rad: 33.9806
epoch 109,  actor_loss: 200.8038,  critic_loss: 71.8000, cost_time: 2.6545, best_solution: [12.427233695983887],od: 11.1417, eqity: 12.0785,rad: 28.2916
epoch 110,  actor_loss: 280.1953,  critic_loss: 83.6614, cost_time: 2.5375, best_solution: [12.427233695983887],od: 12.0468, eqity: 11.7928,rad: 34.1542
epoch 111,  actor_loss: 219.1226,  critic_loss: 103.2319, cost_time: 2.4632, best_solution: [12.427233695983887],od: 9.8752, eqity: 9.8956,rad: 26.4469
epoch 112,  actor_loss: 257.3245,  critic_loss: 103.7849, cost_time: 2.6739, best_solution: [12.427233695983887],od: 11.5992, eqity: 10.9284,rad: 32.3095
epoch 113,  actor_loss: 167.2260,  critic_loss: 65.3577, cost_time: 2.5614, best_solution: [12.427233695983887],od: 11.4423, eqity: 11.7706,rad: 27.8020
epoch 114,  actor_loss: 73.7118,  critic_loss: 88.3159, cost_time: 2.5033, best_solution: [12.427233695983887],od: 11.3746, eqity: 10.9734,rad: 30.5014
epoch 115,  actor_loss: 48.5005,  critic_loss: 77.0216, cost_time: 2.5696, best_solution: [12.427233695983887],od: 11.8972, eqity: 11.5175,rad: 27.7164
epoch 116,  actor_loss: 194.2101,  critic_loss: 97.4083, cost_time: 2.6368, best_solution: [12.427233695983887],od: 14.1555, eqity: 12.8214,rad: 33.3598
epoch 117,  actor_loss: 37.9536,  critic_loss: 72.5943, cost_time: 2.6307, best_solution: [14.155519485473633],od: 11.7025, eqity: 11.4333,rad: 29.9217
epoch 118,  actor_loss: 62.6863,  critic_loss: 63.8562, cost_time: 2.5409, best_solution: [14.155519485473633],od: 11.4256, eqity: 12.4833,rad: 31.9489
epoch 119,  actor_loss: 65.4769,  critic_loss: 65.0175, cost_time: 2.4652, best_solution: [14.155519485473633],od: 9.3213, eqity: 10.1721,rad: 25.8672
epoch 120,  actor_loss: 430.0689,  critic_loss: 146.7531, cost_time: 2.6811, best_solution: [14.155519485473633],od: 13.7224, eqity: 13.8522,rad: 30.9417
epoch 121,  actor_loss: 417.1710,  critic_loss: 151.6133, cost_time: 2.5135, best_solution: [14.155519485473633],od: 12.3514, eqity: 10.8461,rad: 30.7549
epoch 122,  actor_loss: 392.2904,  critic_loss: 121.0924, cost_time: 2.5502, best_solution: [14.155519485473633],od: 12.8251, eqity: 11.9538,rad: 31.3377
epoch 123,  actor_loss: 198.7576,  critic_loss: 79.5074, cost_time: 2.4529, best_solution: [14.155519485473633],od: 10.2295, eqity: 9.2961,rad: 30.1898
epoch 124,  actor_loss: 290.4411,  critic_loss: 108.1388, cost_time: 2.6479, best_solution: [14.155519485473633],od: 14.6212, eqity: 13.1146,rad: 33.8058
epoch 125,  actor_loss: 73.1738,  critic_loss: 96.1949, cost_time: 2.4513, best_solution: [14.621156692504883],od: 11.0186, eqity: 10.3304,rad: 29.3053
epoch 126,  actor_loss: 79.1313,  critic_loss: 99.5877, cost_time: 2.4918, best_solution: [14.621156692504883],od: 12.8351, eqity: 10.9405,rad: 32.5776
epoch 127,  actor_loss: 95.3134,  critic_loss: 94.9427, cost_time: 2.5806, best_solution: [14.621156692504883],od: 13.5438, eqity: 12.5522,rad: 33.5911
epoch 128,  actor_loss: 96.1984,  critic_loss: 70.5916, cost_time: 2.6736, best_solution: [14.621156692504883],od: 13.8771, eqity: 13.1605,rad: 35.7842
epoch 129,  actor_loss: -16.8646,  critic_loss: 85.1292, cost_time: 2.5233, best_solution: [14.621156692504883],od: 10.1378, eqity: 10.4238,rad: 22.0775
epoch 130,  actor_loss: 44.5094,  critic_loss: 69.6960, cost_time: 2.6159, best_solution: [14.621156692504883],od: 10.9869, eqity: 11.5965,rad: 29.9750
epoch 131,  actor_loss: 142.1643,  critic_loss: 90.4491, cost_time: 2.3401, best_solution: [14.621156692504883],od: 11.1256, eqity: 10.9489,rad: 27.6798
epoch 132,  actor_loss: 261.2329,  critic_loss: 114.2677, cost_time: 2.5467, best_solution: [14.621156692504883],od: 13.3604, eqity: 12.0996,rad: 31.8687
